0.00.679.183 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.679.188 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.679.191 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.679.192 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.679.193 W model has unused tensor blk.64.attn_v.weight (size = 3604480 bytes) -- ignoring
0.00.679.198 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.679.199 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.679.201 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.679.202 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.679.203 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.679.204 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.679.206 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 36044800 bytes) -- ignoring
0.00.679.208 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.679.209 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.679.213 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.629.248 I 
0.01.629.328 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX_VNNI = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.01.632.957 I hellaswag_score : loaded 10042 tasks from prompt.
0.01.632.960 I ================================= is_spm = 0
0.01.632.961 I hellaswag_score : selecting 10042 randomized tasks.
0.04.304.506 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
284	82.04225352%	[77.1598%, 86.0694%]
285	82.10526316%	[77.2373%, 86.1193%]
286	81.81818182%	[76.9362%, 85.8567%]
287	81.88153310%	[77.0138%, 85.9071%]
288	81.94444444%	[77.0909%, 85.9570%]
289	82.00692042%	[77.1675%, 86.0066%]
290	82.06896552%	[77.2436%, 86.0559%]
291	82.13058419%	[77.3191%, 86.1048%]
292	82.19178082%	[77.3942%, 86.1533%]
293	82.25255973%	[77.4688%, 86.2016%]
294	82.31292517%	[77.5429%, 86.2494%]
295	82.37288136%	[77.6165%, 86.2970%]
296	82.43243243%	[77.6896%, 86.3442%]
297	82.15488215%	[77.3982%, 86.0904%]
298	82.21476510%	[77.4715%, 86.1380%]
299	82.27424749%	[77.5444%, 86.1853%]
300	82.33333333%	[77.6168%, 86.2323%]
301	82.39202658%	[77.6887%, 86.2790%]
302	82.45033113%	[77.7602%, 86.3253%]
303	82.50825083%	[77.8312%, 86.3714%]
304	82.56578947%	[77.9017%, 86.4171%]
305	82.62295082%	[77.9718%, 86.4625%]
306	82.67973856%	[78.0415%, 86.5076%]
307	82.41042345%	[77.7585%, 86.2613%]
308	82.46753247%	[77.8284%, 86.3068%]
309	82.52427184%	[77.8978%, 86.3520%]
310	82.25806452%	[77.6183%, 86.1081%]
311	82.31511254%	[77.6880%, 86.1537%]
312	82.37179487%	[77.7572%, 86.1990%]
313	82.42811502%	[77.8260%, 86.2439%]
314	82.48407643%	[77.8943%, 86.2886%]
315	82.53968254%	[77.9623%, 86.3330%]
316	82.59493671%	[78.0298%, 86.3771%]
317	82.64984227%	[78.0969%, 86.4209%]
318	82.70440252%	[78.1637%, 86.4644%]
319	82.75862069%	[78.2300%, 86.5077%]
320	82.81250000%	[78.2959%, 86.5507%]
321	82.86604361%	[78.3614%, 86.5934%]
322	82.91925466%	[78.4265%, 86.6358%]
323	82.97213622%	[78.4912%, 86.6780%]
324	83.02469136%	[78.5556%, 86.7199%]
325	83.07692308%	[78.6195%, 86.7615%]
326	83.12883436%	[78.6831%, 86.8029%]
327	83.18042813%	[78.7463%, 86.8440%]
328	83.23170732%	[78.8091%, 86.8849%]
329	83.28267477%	[78.8716%, 86.9255%]
330	83.33333333%	[78.9337%, 86.9658%]
331	83.38368580%	[78.9954%, 87.0060%]
332	83.43373494%	[79.0568%, 87.0458%]
333	83.18318318%	[78.7927%, 86.8168%]
334	83.23353293%	[78.8543%, 86.8570%]
335	83.28358209%	[78.9155%, 86.8970%]
336	83.33333333%	[78.9764%, 86.9367%]
337	83.38278932%	[79.0369%, 86.9762%]
338	83.43195266%	[79.0971%, 87.0154%]
339	83.48082596%	[79.1569%, 87.0544%]
340	83.52941176%	[79.2164%, 87.0932%]
341	83.57771261%	[79.2756%, 87.1317%]
342	83.62573099%	[79.3344%, 87.1700%]
343	83.67346939%	[79.3929%, 87.2081%]
344	83.72093023%	[79.4511%, 87.2460%]
345	83.47826087%	[79.1950%, 87.0242%]
346	83.23699422%	[78.9408%, 86.8032%]
